vidId,frameNum,detectedObjId,detectedObjClass,confidence,x1,y1,x2,y2
Cyclist and vehicle tracking - 2.mp4,0,2,bicycle,0.35175544,724.325,391.82666,758.83453,424.20337
Cyclist and vehicle tracking - 2.mp4,1,2,bicycle,0.42628732,722.6317,392.60815,765.00134,422.318
Cyclist and vehicle tracking - 2.mp4,2,2,bicycle,0.39424148,717.84564,391.36633,764.12836,418.35352
Cyclist and vehicle tracking - 2.mp4,3,2,bicycle,0.25746605,716.3838,389.69727,763.2688,417.2965
Cyclist and vehicle tracking - 2.mp4,4,3,car,0.29327974,713.30786,388.28363,761.7722,417.37683
Cyclist and vehicle tracking - 2.mp4,5,2,bicycle,0.41575617,709.84265,389.86517,754.11414,414.89447
Cyclist and vehicle tracking - 2.mp4,6,2,bicycle,0.30211553,708.5004,388.67523,745.1951,415.05548
Cyclist and vehicle tracking - 2.mp4,7,2,bicycle,0.49968144,706.36584,389.04095,744.06433,413.23383
Cyclist and vehicle tracking - 2.mp4,8,2,bicycle,0.33699596,704.3408,387.35004,743.52124,412.70184
Cyclist and vehicle tracking - 2.mp4,9,2,bicycle,0.34151706,702.7348,386.44977,735.9805,412.09827
Cyclist and vehicle tracking - 2.mp4,10,2,bicycle,0.41046688,699.2888,388.51505,741.9901,413.7374
Cyclist and vehicle tracking - 2.mp4,11,2,bicycle,0.3564449,697.36926,388.1587,737.48096,412.4408
Cyclist and vehicle tracking - 2.mp4,12,2,bicycle,0.27251962,695.4054,386.38385,735.9144,411.99615
Cyclist and vehicle tracking - 2.mp4,13,2,bicycle,0.28797975,693.0194,386.31134,735.2667,411.65253
Cyclist and vehicle tracking - 2.mp4,14,2,bicycle,0.43749136,691.0968,385.42975,733.3556,410.89886
Cyclist and vehicle tracking - 2.mp4,15,2,bicycle,0.32252306,688.76575,385.39313,730.44495,410.22137
Cyclist and vehicle tracking - 2.mp4,16,2,bicycle,0.39170083,685.7997,385.2412,729.745,409.83447
Cyclist and vehicle tracking - 2.mp4,17,2,bicycle,0.40926763,682.32434,385.47272,719.9608,408.601
Cyclist and vehicle tracking - 2.mp4,18,2,bicycle,0.2603935,679.9974,385.31293,720.2966,408.597
Cyclist and vehicle tracking - 2.mp4,19,2,bicycle,0.44440794,676.74426,383.62408,716.5995,407.341
Cyclist and vehicle tracking - 2.mp4,20,2,bicycle,0.31703916,674.7014,382.0429,721.4575,407.18317
Cyclist and vehicle tracking - 2.mp4,21,2,bicycle,0.416309,672.6217,383.6897,709.1881,406.40405
Cyclist and vehicle tracking - 2.mp4,22,2,bicycle,0.46396533,669.2267,383.09546,704.2814,405.2202
Cyclist and vehicle tracking - 2.mp4,23,2,bicycle,0.43147397,666.1359,381.48224,702.47906,405.03827
Cyclist and vehicle tracking - 2.mp4,24,2,bicycle,0.48836565,662.3085,380.70084,703.8893,405.48257
Cyclist and vehicle tracking - 2.mp4,25,2,bicycle,0.46551624,659.66565,379.34076,700.91626,405.5102
Cyclist and vehicle tracking - 2.mp4,26,2,bicycle,0.5750633,658.2583,379.29398,697.5486,404.52975
Cyclist and vehicle tracking - 2.mp4,27,2,bicycle,0.62315273,656.9703,380.39764,693.492,403.9206
